current_class;affix;affix_source;no_boundary_after;gloss;continuation_class;out_mark;phonet_left;allomorphs;desc_ru;source;frequency (1-4, 4 rarest);comment;;;;;;;;;;;;;;;;;;;;
VpstNarr;;быт;;+tense+pst.narr;VpossNumPers;;;;;;;Преждепрошедшее повествовательное;;;;;;;;;;;;;;;;;;;;
VpstNarr;;батах;;+tense+pst.narr+polarity+neg;VpossNumPers;;;;;;;;;;;;;;;;;;;;;;;;;;;
VpstRes1;;быт;;+tense+pst.res1;VpredNumPers;;;;;;;прошедшее результативное первое;;;;;;;;;;;;;;;;;;;;
VpstRes1;;батах;;+tense+pst.res1+polarity+neg;VpredNumPers;;;;;;;;;;;;;;;;;;;;;;;;;;;
Vfut;;ыах;;+tense+fut;VpossNumPers;.tns.fut.;;;;;;;;;;;;;;;;;;;;;;;;;;
Vfut;;ыах;;+tense+fut+polarity+neg;VpossNumPers;.tns.fut.neg.;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
VptcpPres;;ар;;+v+ptcp.pres;Ninfl, PtcpPresSourceDeriv;.tns.pres.;;;;;;;;;;;;;;;;;;;;;;;;;;
VptcpPres;;бат;;+v+ptcp.pres+polarity+neg;Ninfl, PtcpPresSourceDeriv;;;;;;;;;;;;;;;;;;;;;;;;;;;
PtcpPresSourceDeriv;;лыы;;+deriv+advlz+pos+ADV;#;;;;;У:230;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
VptcpPast;;быт;;+v+ptcp.pst;Ninfl, PtcpPstSourceDeriv;;;;;;;;;;;;;;;;;;;;;;;;;;;
VptcpPast;;батах;;+v+ptcp.pst+polarity+neg;Ninfl, PtcpPstSourceDeriv;;;;;;;;;;;;;;;;;;;;;;;;;;;
PtcpPstSourceDeriv;;лыы;;+deriv+advlz+pos+ADV;#;;;;;У:232;;;;;;;;;;;;;;;;;;;;;;
PtcpPstSourceDeriv;;ча;;+deriv+advlz+pos+ADV;#;;;;;У:233;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
VptcpFut;;ыах;;+v+ptcp.fut;Ninfl, PtcpFutSourceDeriv;.tns.fut.;;;;;;;;;;;;;;;;;;;;;;;;;;
VptcpFut;;ыах;;+v+ptcp.fut+polarity+neg;Ninfl, PtcpFutSourceDeriv;.tns.fut.neg.;;;;;;;;;;;;;;;;;;;;;;;;;;
PtcpFutSourceDeriv;;лыы;;+deriv+advlz+pos+ADV;#;;;;;У:235;;;;;;;;;;;;;;;;;;;;;;
PtcpFutSourceDeriv;;лык;;+deriv+advlz+pos+ADV;#;;;;;У:235;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
VepistMood;;тах;;+mood+epist;VpossNumPers;;;;;;;;;;;;;;;;;;;;;;;;;;;
VepistMood;;батах;;+mood+epist+polarity+neg;VpossNumPers;;;;;;;;;;;;;;;;;;;;;;;;;;;
VptcpEpist;;тах;;+ptcp.epist;Ninfl, VpredNumPers;;;;;;;;;;;;;;;;;;;;;;;;;;;
VptcpEpist;;батах;;+ptcp.epist+polarity+neg;Ninfl, VpredNumPers;;;;;;;;;;;;;;;;;;;;;;;;;;;
Vcond2;;тах;;+mood+con2;VLocPredNumPers;;;;;;;;;;;;;;;;;;;;;;;;;;;
Vcond2;;батах;;+mood+con2+polarity+neg;VLocPredNumPers;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
VpresDeont;;ардаах;;+mood+deont;VpredNumPers;;;;;У:237;;;;;;;;;;;;;;;;;;;;;;
VpresDeont;;баттаах;;+mood+deont+polarity+neg;VpredNumPers;;;;;глаголы_файл;;;;;;;;;;;;;;;;;;;;;;
VptcpDeont;;ардаах;;+ptcp.deont;Ninfl;;;;;;;;;;;;;;;;;;;;;;;;;;;
VptcpDeont;;баттаах;;+ptcp.deont+polarity+neg;Ninfl;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
VpstEpisodic;;быттаах;;+tense+pst.epsd;VpredNumPers;;;;;У:238;;;;;;;;;;;;;;;;;;;;;;
VpstEpisodic;;батахтаах;;+tense+pst.epsd+polarity+neg;VpredNumPers;;;;;;;;;;;;;;;;;;;;;;;;;;;
VptcpEpisodic;;быттаах;;+ptcp.epsd;Ninfl;;;;;;;;;;;;;;;;;;;;;;;;;;;
VptcpEpisodic;;батахтаах;;+ptcp.epsd+polarity+neg;Ninfl;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
VfutDeont;;ыахтаах;;+tense+fut.deont;VpredNumPers;;;;;;;;;;;;;;;;;;;;;;;;;;;
VfutDeont;;ымыахтаах;;+tense+fut.deont+polarity+neg;VpredNumPers;;;;;;;;;;;;;;;;;;;;;;;;;;;
VptcpFutDeont;;ыахтаах;;+ptcp.deont;Ninfl;;;;;;;;;;;;;;;;;;;;;;;;;;;
VptcpFutDeont;;ымыахтаах;;+ptcp.deont+polarity+neg;Ninfl;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
VagentMood;;ааччы;;+mood+usual;VpredNumPers;;;;;У:238;;;;;;;;;;;;;;;;;;;;;;
VagentMood;;ааччы;;+mood+usual+polarity+neg;VpossNumPers;;;;;;;;;;;;;;;;;;;;;;;;;;;
VagentPtcp;;ааччы;;+ptcp.ag.usual;Ninfl;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Vpst;;л;;+tense+pst;VpossNumPersPLlar;;;;;;;;;;;;;;;;;;;;;;;;;;;
Vpst;;бат;;+tense+pst+polarity+neg;VpossNumPersPLlar;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
VcvbAnt;;н;;+cvb.ant;#, VpredNumPers;.cvb.ant.;;;;;;;;;;;;;;;;;;;;;;;;;;
VcvbNeg;;бакка;;+cvb.ant/sim+polarity+neg;#, VpredNumPers;;;;;;;;;;;;;;;;;;;;;;;;;;;
VcvbNeg;;ымна;;+cvb.ant/sim+polarity+neg;#, VpredNumPers;;;;;;;;;;;;;;;;;;;;;;;;;;;
VcvbNeg;;ымайа;;+cvb.ant/sim+polarity+neg;#, VpredNumPers;;;;;;;;;;;;;;;;;;;;;;;;;;;
VcvbSim;;а;;+cvb.sim;#, VpredNumPers;.cvb.sim.;;;;;;;;;;;;;;;;;;;;;;;;;;
VcvbPurp;;аары;;+cvb.purp;#, VpredNumPers;.cvb.purp.;;;;;;;;;;;;;;;;;;;;;;;;;;
VcvbPurp;;ымаары;;+cvb.purp+polarity+neg;#, VpredNumPers;;;;;;;;;;;;;;;;;;;;;;;;;;;
VcvbImmedAnt;;аат;;+cvb.immed.ant;#, NPossAcc;.cvb.immed.;;;;У:250;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
VsourceDerivation;;;;;VVaffix, VNaffix;;;;;;;;;;;;;;;;;;;;;;;;;;;
VVaffix;;аахтаа;;+deriv+attd;Vinfl;;;;"ласковое отношение к агенсу или плохое ""к кому-н."" (???)";У:225-226;;похоже на некое аах + лаа..;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
VpossNumPers;;м;;+num+sg+pers+1;#;.1sg.;;;;У:226;;;;;;;;;;;;;;;;;;;;;;
VpossNumPers;;ҥ;;+num+sg+pers+2;#;.2sg.;;;;У:226;;;;;;;;;;;;;;;;;;;;;;
VpossNumPers;;а;;+num+sg+pers+3;#;.3sg.;;;;У:226;;;;;;;;;;;;;;;;;;;;;;
VpossNumPers;;быт;;+num+pl+pers+1;#;.1pl.;;;;У:226;;;;;;;;;;;;;;;;;;;;;;
VpossNumPers;;ҕыт;;+num+pl+pers+2;#;.2pl.;;;;У:226;;;;;;;;;;;;;;;;;;;;;;
VpossNumPers;;лара;;+num+pl+pers+3;#;.3pl.;;;;У:226;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
VpossNumPersPLlar;;м;;+num+sg+pers+1;#;.1sg.;;;;;;;;;;;;;;;;;;;;;;;;;;
VpossNumPersPLlar;;ҥ;;+num+sg+pers+2;#;.2sg.;;;;;;;;;;;;;;;;;;;;;;;;;;
VpossNumPersPLlar;;а;;+num+sg+pers+3;#;.3sg.;;;;;;;;;;;;;;;;;;;;;;;;;;
VpossNumPersPLlar;;быт;;+num+pl+pers+1;#;.1pl.;;;;;;;;;;;;;;;;;;;;;;;;;;
VpossNumPersPLlar;;ҕыт;;+num+pl+pers+2;#;.2pl.;;;;;;;;;;;;;;;;;;;;;;;;;;
VpossNumPersPLlar;;лар;;+num+pl+pers+3;#;.3pl.;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
VpredNumPers;;бын;;+num+sg+pers+1;#;.1sg.;;;;У:226;;;;;;;;;;;;;;;;;;;;;;
VpredNumPers;;ҕын;;+num+sg+pers+2;#;.2sg.;;ҕын;;У:226;;;;;;;;;;;;;;;;;;;;;;
VpredNumPers;;0;;+num+sg+pers+3;#;.3sg.;;;;У:226;;отступление от Убр;;;;;;;;;;;;;;;;;;;;
VpredNumPers;;быт;;+num+pl+pers+1;#;.1pl.;;;;У:226;;;;;;;;;;;;;;;;;;;;;;
VpredNumPers;;ҕыт;;+num+pl+pers+2;#;.2pl.;;ҕыт;;У:226;;;;;;;;;;;;;;;;;;;;;;
VpredNumPers;;лар;;+num+pl+pers+3;#;.3pl.;;тар;;У:226;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
VLocPredNumPers;;бына;;+num+sg+pers+1;#;.1sg.;;;;;;;;;;;;;;;;;;;;;;;;;;
VLocPredNumPers;;ҕына;;+num+sg+pers+2;#;.2sg.;;;;;;;;;;;;;;;;;;;;;;;;;;
VLocPredNumPers;;ына;;+num+sg+pers+3;#;.3sg.;;;;;;;;;;;;;;;;;;;;;;;;;;
VLocPredNumPers;;бытына;;+num+pl+pers+1;#;.1pl.;;;;;;;;;;;;;;;;;;;;;;;;;;
VLocPredNumPers;;ҕытына;;+num+pl+pers+2;#;.2pl.;;;;;;;;;;;;;;;;;;;;;;;;;;
VLocPredNumPers;;тарына;;+num+pl+pers+3;#;.3pl.;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AdjStem;;^;;;#, AdjSourceDerivation;;;;;;;;;;;;;;;;;;;;;;;;;;;
AdjSourceDerivation;;лык;;+deriv+deadj;AdvStem;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AdvStem;;;;+pos+ADV;#;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NumStem;;;;;NumInfl, NumSourceDerivation;;;;;;;;;;;;;;;;;;;;;;;;;;;
NumSourceDerivation;;;;;Vaffix;;;;;;;;;;;;;;;;;;;;;;;;;;;
PronStem;;;;;PronInfl, PronSourceDerivation;;;;;;;;;;;;;;;;;;;;;;;;;;;
PronSourceDerivation;;;;;Vaffix;;;;;;;в основном вопросительные местоимения!;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
