орон+pos+N+deriv+nmlz+num+sg+case+nom	ором^мул
орон+pos+N+deriv+vblz7+pos+V+deriv+dvb2+num+sg+case+nom+poss+1sg	орон^руй^дьун^ум
орон+pos+N+deriv+vblz7+pos+V+deriv+dvb2+num+sg+case+acc	орон^руй^дьун^у
орон+pos+N+deriv+vblz7+pos+V+deriv+dvb2+num+sg+case+ins	орон^руй^дьун^унан
орон+pos+N+deriv+vblz7+pos+V+deriv+dvb2+num+pl+case+nom	орон^руй^дьун^нар
орон+pos+N+deriv+vblz7+pos+V+deriv+dvb2+num+pl+case+dat	орон^руй^дьун^нар^га
орон+pos+N+deriv+vblz7+pos+V+deriv+dvb2+num+pl+case+acc	орон^руй^дьун^нар^ы
орон+pos+N+deriv+vblz7+pos+V+deriv+dvb2+num+pl+case+ins	орон^руй^дьун^нар^ынан
орон+pos+N+deriv+vblz7+pos+V+deriv+dvb2+num+pl+case+nom+poss+2pl	орон^руй^дьун^нар^гыт
орон+pos+N+deriv+vblz7+pos+V+deriv+dvb2+num+pl+case+nom+poss+1pl	орон^руй^дьун^нар^быт
орон+pos+N+deriv+vblz7+pos+V+deriv+dvb2+num+pl+case+nom+poss+3sg	орон^руй^дьун^нар^а
орон+pos+N+deriv+vblz7+pos+V+deriv+dvb2+num+pl+case+nom+poss+2sg	орон^руй^дьун^нар^ыҥ
орон+pos+N+deriv+vblz7+pos+V+deriv+dvb2+num+pl+case+nom+poss+1sg	орон^руй^дьун^нар^ым
орон+pos+N+deriv+vblz7+pos+V+deriv+dvb2+num+pl+case+com	орон^руй^дьун^нар^дыын
орон+pos+N+deriv+vblz7+pos+V+deriv+dvb2+num+pl+case+cmpr	орон^руй^дьун^нар^дааҕар
орон+pos+N+deriv+vblz7+pos+V+deriv+dvb2+num+pl+case+part	орон^руй^дьун^нар^да
орон+pos+N+deriv+vblz7+pos+V+deriv+dvb2+num+pl+case+abl	орон^руй^дьун^нар^дан
орон+pos+N+deriv+vblz7+pos+V+deriv+dvb2+num+pl+case+nom+poss+3pl	орон^руй^дьун^нара
орон+pos+N+deriv+vblz7+pos+V+deriv+dvb+num+sg+case+nom	орон^руй^уу
орон+pos+N+deriv+vblz7+pos+V+deriv+dvb+num+pl+case+nom	орон^руй^уу^лар
орон+pos+N+deriv+vblz7+pos+V+deriv+dvb+num+pl+case+dat	орон^руй^уу^лар^га
орон+pos+N+deriv+vblz7+pos+V+deriv+dvb+num+pl+case+acc	орон^руй^уу^лар^ы
орон+pos+N+deriv+vblz7+pos+V+deriv+dvb+num+pl+case+ins	орон^руй^уу^лар^ынан
орон+pos+N+deriv+vblz7+pos+V+deriv+dvb+num+pl+case+nom+poss+2pl	орон^руй^уу^лар^гыт
орон+pos+N+deriv+vblz7+pos+V+deriv+dvb+num+pl+case+nom+poss+1pl	орон^руй^уу^лар^быт
орон+pos+N+deriv+vblz7+pos+V+deriv+dvb+num+pl+case+nom+poss+3sg	орон^руй^уу^лар^а
орон+pos+N+deriv+vblz7+pos+V+deriv+dvb+num+pl+case+nom+poss+2sg	орон^руй^уу^лар^ыҥ
орон+pos+N+deriv+vblz7+pos+V+deriv+dvb+num+pl+case+nom+poss+1sg	орон^руй^уу^лар^ым
орон+pos+N+deriv+vblz7+pos+V+deriv+dvb+num+pl+case+com	орон^руй^уу^лар^дыын
орон+pos+N+deriv+vblz7+pos+V+deriv+dvb+num+pl+case+cmpr	орон^руй^уу^лар^дааҕар
орон+pos+N+deriv+vblz7+pos+V+deriv+dvb+num+pl+case+part	орон^руй^уу^лар^да
орон+pos+N+deriv+vblz7+pos+V+deriv+dvb+num+pl+case+abl	орон^руй^уу^лар^дан
орон+pos+N+deriv+vblz7+pos+V+deriv+dvb+num+pl+case+nom+poss+3pl	орон^руй^уу^лара
орон+pos+N+deriv+vblz7+pos+V+deriv+dvb+num+sg+case+com	орон^руй^уу^луун
орон+pos+N+deriv+vblz7+pos+V+deriv+dvb+num+sg+case+ins	орон^руй^уу^нан
орон+pos+N+deriv+vblz7+pos+V+deriv+dvb+num+sg+case+acc	орон^руй^уу^ну
орон+pos+N+deriv+vblz7+pos+V+deriv+dvb+num+sg+case+dat	орон^руй^уу^га
орон+pos+N+deriv+vblz7+pos+V+deriv+dvb+num+sg+case+abl	орон^руй^уу^ттан
орон+pos+N+deriv+vblz7+pos+V+deriv+dvb+num+sg+case+cmpr	орон^руй^уу^тааҕар
орон+pos+N+deriv+vblz7+pos+V+deriv+dvb+num+sg+case+part	орон^руй^уу^та
орон+pos+N+deriv+vblz7+pos+V+deriv+dvb+num+sg+case+nom+poss+3pl	орон^руй^уу^лара
орон+pos+N+deriv+vblz7+pos+V+deriv+dvb+num+sg+case+nom+poss+2pl	орон^руй^уу^гут
орон+pos+N+deriv+vblz7+pos+V+deriv+dvb+num+sg+case+nom+poss+1pl	орон^руй^уу^бут
орон+pos+N+deriv+vblz7+pos+V+deriv+dvb+num+sg+case+nom+poss+2sg	орон^руй^уу^ҥ
орон+pos+N+deriv+vblz7+pos+V+deriv+dvb+num+sg+case+nom+poss+1sg	орон^руй^уу^м
орон+pos+N+deriv+vblz7+pos+V+deriv+dvb+num+sg+case+nom+poss+3sg	орон^руй^уу^та
орон+pos+N+deriv+vblz4+pos+V	орон^суй
орон+pos+N+deriv+vblz4+pos+V+deriv+attd+tense+pres+num+sg+pers+3	орон^суй^аахд^ыыр
орон+pos+N+deriv+vblz4+pos+V+deriv+attd	орон^суй^аахтаа
орон+pos+N+deriv+vblz4+pos+V+deriv+attd+tense+pres+polarity+neg+num+pl+pers+1	орон^суй^аахтаа^бап^пыт
орон+pos+N+deriv+vblz4+pos+V+deriv+attd+tense+pres+polarity+neg+num+sg+pers+1	орон^суй^аахтаа^бап^пын
орон+pos+N+deriv+vblz4+pos+V+deriv+attd+tense+pres+polarity+neg+num+pl+pers+2	орон^суй^аахтаа^бак^кыт
орон+pos+N+deriv+vblz4+pos+V+deriv+attd+tense+pres+polarity+neg+num+sg+pers+2	орон^суй^аахтаа^бак^кын
орон+pos+N+deriv+vblz4+pos+V+deriv+attd+tense+pres+polarity+neg+num+sg+pers+3	орон^суй^аахтаа^бат
орон+pos+N+deriv+vblz4+pos+V+deriv+attd+tense+pres+polarity+neg+num+pl+pers+3	орон^суй^аахтаа^бат^тар
орон+pos+N+deriv+vblz4+pos+V+deriv+attd+tense+pres+num+pl+pers+1	орон^суй^аахтаа^ыы^быт
орон+pos+N+deriv+vblz4+pos+V+deriv+attd+tense+pres+num+sg+pers+1	орон^суй^аахтаа^ыы^бын
орон+pos+N+deriv+vblz4+pos+V+deriv+attd+tense+pres+num+pl+pers+2	орон^суй^аахтаа^ыы^гыт
орон+pos+N+deriv+vblz4+pos+V+deriv+attd+tense+pres+num+sg+pers+2	орон^суй^аахтаа^ыы^гын
орон+pos+N+deriv+vblz4+pos+V+deriv+attd+tense+pres+num+pl+pers+3	орон^суй^аахтаа^ыыл^лар
орон+pos+N+deriv+vblz4+pos+V+deriv+ag.nom+num+sg+case+nom	орон^суй^ааччу
орон+pos+N+deriv+vblz4+pos+V+deriv+ag.nom+num+pl+case+nom	орон^суй^ааччу^лар
орон+pos+N+deriv+vblz4+pos+V+deriv+ag.nom+num+pl+case+dat	орон^суй^ааччу^лар^га
орон+pos+N+deriv+vblz4+pos+V+deriv+ag.nom+num+pl+case+acc	орон^суй^ааччу^лар^ы
орон+pos+N+deriv+vblz4+pos+V+deriv+ag.nom+num+pl+case+ins	орон^суй^ааччу^лар^ынан
орон+pos+N+deriv+vblz4+pos+V+deriv+ag.nom+num+pl+case+nom+poss+2pl	орон^суй^ааччу^лар^гыт
орон+pos+N+deriv+vblz4+pos+V+deriv+ag.nom+num+pl+case+nom+poss+1pl	орон^суй^ааччу^лар^быт
орон+pos+N+deriv+vblz4+pos+V+deriv+ag.nom+num+pl+case+nom+poss+3sg	орон^суй^ааччу^лар^а
орон+pos+N+deriv+vblz4+pos+V+deriv+ag.nom+num+pl+case+nom+poss+2sg	орон^суй^ааччу^лар^ыҥ
орон+pos+N+deriv+vblz4+pos+V+deriv+ag.nom+num+pl+case+nom+poss+1sg	орон^суй^ааччу^лар^ым
орон+pos+N+deriv+vblz4+pos+V+deriv+ag.nom+num+pl+case+com	орон^суй^ааччу^лар^дыын
орон+pos+N+deriv+vblz4+pos+V+deriv+ag.nom+num+pl+case+cmpr	орон^суй^ааччу^лар^дааҕар
орон+pos+N+deriv+vblz4+pos+V+deriv+ag.nom+num+pl+case+part	орон^суй^ааччу^лар^да
орон+pos+N+deriv+vblz4+pos+V+deriv+ag.nom+num+pl+case+abl	орон^суй^ааччу^лар^дан
орон+pos+N+deriv+vblz4+pos+V+deriv+ag.nom+num+pl+case+nom+poss+3pl	орон^суй^ааччу^лара
орон+pos+N+deriv+vblz4+pos+V+deriv+ag.nom+num+sg+case+com	орон^суй^ааччу^луун
орон+pos+N+deriv+vblz4+pos+V+deriv+ag.nom+num+sg+case+ins	орон^суй^ааччу^нан
орон+pos+N+deriv+vblz4+pos+V+deriv+ag.nom+num+sg+case+acc	орон^суй^ааччу^ну
орон+pos+N+deriv+vblz4+pos+V+deriv+ag.nom+num+sg+case+dat	орон^суй^ааччу^га
орон+pos+N+deriv+vblz4+pos+V+deriv+ag.nom+num+sg+case+abl	орон^суй^ааччу^ттан
орон+pos+N+deriv+vblz4+pos+V+deriv+ag.nom+num+sg+case+cmpr	орон^суй^ааччу^тааҕар
орон+pos+N+deriv+vblz4+pos+V+deriv+ag.nom+num+sg+case+part	орон^суй^ааччу^та
орон+pos+N+deriv+vblz4+pos+V+deriv+ag.nom+num+sg+case+nom+poss+3pl	орон^суй^ааччу^лара
орон+pos+N+deriv+vblz4+pos+V+deriv+ag.nom+num+sg+case+nom+poss+2pl	орон^суй^ааччу^гут
орон+pos+N+deriv+vblz4+pos+V+deriv+ag.nom+num+sg+case+nom+poss+1pl	орон^суй^ааччу^бут
орон+pos+N+deriv+vblz4+pos+V+deriv+ag.nom+num+sg+case+nom+poss+2sg	орон^суй^ааччу^ҥ
орон+pos+N+deriv+vblz4+pos+V+deriv+ag.nom+num+sg+case+nom+poss+1sg	орон^суй^ааччу^м
орон+pos+N+deriv+vblz4+pos+V+deriv+ag.nom+num+sg+case+nom+poss+3sg	орон^суй^ааччу^та
орон+pos+N+deriv+vblz4+pos+V+tense+pres+polarity+neg+num+pl+pers+1	орон^суй^бап^пыт
орон+pos+N+deriv+vblz4+pos+V+tense+pres+polarity+neg+num+sg+pers+1	орон^суй^бап^пын
орон+pos+N+deriv+vblz4+pos+V+tense+pres+polarity+neg+num+pl+pers+2	орон^суй^бак^кыт
орон+pos+N+deriv+vblz4+pos+V+tense+pres+polarity+neg+num+sg+pers+2	орон^суй^бак^кын
орон+pos+N+deriv+vblz4+pos+V+tense+pres+polarity+neg+num+sg+pers+3	орон^суй^бат
орон+pos+N+deriv+vblz4+pos+V+tense+pres+polarity+neg+num+pl+pers+3	орон^суй^бат^тар
орон+pos+N+deriv+vblz4+pos+V+tense+pres+num+pl+pers+3	орон^суй^ал^лар
орон+pos+N+deriv+vblz4+pos+V+tense+pres+num+pl+pers+1	орон^суй^а^быт
орон+pos+N+deriv+vblz4+pos+V+tense+pres+num+sg+pers+1	орон^суй^а^бын
орон+pos+N+deriv+vblz4+pos+V+tense+pres+num+pl+pers+2	орон^суй^а^ҕыт
орон+pos+N+deriv+vblz4+pos+V+tense+pres+num+sg+pers+2	орон^суй^а^ҕын
орон+pos+N+deriv+vblz4+pos+V+tense+pres+num+sg+pers+3	орон^суй^ар
орон+pos+N+deriv+vblz4+pos+V+deriv+dvb2+num+sg+case+nom+poss+1pl	орон^суй^дьум^мут
орон+pos+N+deriv+vblz4+pos+V+deriv+dvb2+num+sg+case+nom	орон^суй^дьун
орон+pos+N+deriv+vblz4+pos+V+deriv+dvb2+num+sg+case+com	орон^суй^дьун^нуун
орон+pos+N+deriv+vblz4+pos+V+deriv+dvb2+num+sg+case+dat	орон^суй^дьун^га
орон+pos+N+deriv+vblz4+pos+V+deriv+dvb2+num+sg+case+cmpr	орон^суй^дьун^тааҕар
орон+pos+N+deriv+vblz4+pos+V+deriv+dvb2+num+sg+case+part	орон^суй^дьун^та
орон+pos+N+deriv+vblz4+pos+V+deriv+dvb2+num+sg+case+abl	орон^суй^дьун^тан
орон+pos+N+deriv+vblz4+pos+V+deriv+dvb2+num+sg+case+nom+poss+2pl	орон^суй^дьун^гут
орон+pos+N+deriv+vblz4+pos+V+deriv+dvb2+num+sg+case+nom+poss+3sg	орон^суй^дьун^а
орон+pos+N+deriv+vblz4+pos+V+deriv+dvb2+num+sg+case+nom+poss+3pl	орон^суй^дьун^нара
орон+pos+N+deriv+vblz4+pos+V+deriv+dvb2+num+sg+case+nom+poss+2sg	орон^суй^дьун^уҥ
орон+pos+N+deriv+vblz4+pos+V+deriv+dvb2+num+sg+case+nom+poss+1sg	орон^суй^дьун^ум
орон+pos+N+deriv+vblz4+pos+V+deriv+dvb2+num+sg+case+acc	орон^суй^дьун^у
орон+pos+N+deriv+vblz4+pos+V+deriv+dvb2+num+sg+case+ins	орон^суй^дьун^унан
орон+pos+N+deriv+vblz4+pos+V+deriv+dvb2+num+pl+case+nom	орон^суй^дьун^нар
орон+pos+N+deriv+vblz4+pos+V+deriv+dvb2+num+pl+case+dat	орон^суй^дьун^нар^га
орон+pos+N+deriv+vblz4+pos+V+deriv+dvb2+num+pl+case+acc	орон^суй^дьун^нар^ы
орон+pos+N+deriv+vblz4+pos+V+deriv+dvb2+num+pl+case+ins	орон^суй^дьун^нар^ынан
орон+pos+N+deriv+vblz4+pos+V+deriv+dvb2+num+pl+case+nom+poss+2pl	орон^суй^дьун^нар^гыт
орон+pos+N+deriv+vblz4+pos+V+deriv+dvb2+num+pl+case+nom+poss+1pl	орон^суй^дьун^нар^быт
орон+pos+N+deriv+vblz4+pos+V+deriv+dvb2+num+pl+case+nom+poss+3sg	орон^суй^дьун^нар^а
орон+pos+N+deriv+vblz4+pos+V+deriv+dvb2+num+pl+case+nom+poss+2sg	орон^суй^дьун^нар^ыҥ
орон+pos+N+deriv+vblz4+pos+V+deriv+dvb2+num+pl+case+nom+poss+1sg	орон^суй^дьун^нар^ым
орон+pos+N+deriv+vblz4+pos+V+deriv+dvb2+num+pl+case+com	орон^суй^дьун^нар^дыын
орон+pos+N+deriv+vblz4+pos+V+deriv+dvb2+num+pl+case+cmpr	орон^суй^дьун^нар^дааҕар
орон+pos+N+deriv+vblz4+pos+V+deriv+dvb2+num+pl+case+part	орон^суй^дьун^нар^да
орон+pos+N+deriv+vblz4+pos+V+deriv+dvb2+num+pl+case+abl	орон^суй^дьун^нар^дан
орон+pos+N+deriv+vblz4+pos+V+deriv+dvb2+num+pl+case+nom+poss+3pl	орон^суй^дьун^нара
орон+pos+N+deriv+vblz4+pos+V+deriv+dvb+num+sg+case+nom	орон^суй^уу
орон+pos+N+deriv+vblz4+pos+V+deriv+dvb+num+pl+case+nom	орон^суй^уу^лар
орон+pos+N+deriv+vblz4+pos+V+deriv+dvb+num+pl+case+dat	орон^суй^уу^лар^га
орон+pos+N+deriv+vblz4+pos+V+deriv+dvb+num+pl+case+acc	орон^суй^уу^лар^ы
орон+pos+N+deriv+vblz4+pos+V+deriv+dvb+num+pl+case+ins	орон^суй^уу^лар^ынан
орон+pos+N+deriv+vblz4+pos+V+deriv+dvb+num+pl+case+nom+poss+2pl	орон^суй^уу^лар^гыт
орон+pos+N+deriv+vblz4+pos+V+deriv+dvb+num+pl+case+nom+poss+1pl	орон^суй^уу^лар^быт
орон+pos+N+deriv+vblz4+pos+V+deriv+dvb+num+pl+case+nom+poss+3sg	орон^суй^уу^лар^а
орон+pos+N+deriv+vblz4+pos+V+deriv+dvb+num+pl+case+nom+poss+2sg	орон^суй^уу^лар^ыҥ
орон+pos+N+deriv+vblz4+pos+V+deriv+dvb+num+pl+case+nom+poss+1sg	орон^суй^уу^лар^ым
орон+pos+N+deriv+vblz4+pos+V+deriv+dvb+num+pl+case+com	орон^суй^уу^лар^дыын
орон+pos+N+deriv+vblz4+pos+V+deriv+dvb+num+pl+case+cmpr	орон^суй^уу^лар^дааҕар
орон+pos+N+deriv+vblz4+pos+V+deriv+dvb+num+pl+case+part	орон^суй^уу^лар^да
орон+pos+N+deriv+vblz4+pos+V+deriv+dvb+num+pl+case+abl	орон^суй^уу^лар^дан
орон+pos+N+deriv+vblz4+pos+V+deriv+dvb+num+pl+case+nom+poss+3pl	орон^суй^уу^лара
орон+pos+N+deriv+vblz4+pos+V+deriv+dvb+num+sg+case+com	орон^суй^уу^луун
орон+pos+N+deriv+vblz4+pos+V+deriv+dvb+num+sg+case+ins	орон^суй^уу^нан
орон+pos+N+deriv+vblz4+pos+V+deriv+dvb+num+sg+case+acc	орон^суй^уу^ну
орон+pos+N+deriv+vblz4+pos+V+deriv+dvb+num+sg+case+dat	орон^суй^уу^га
орон+pos+N+deriv+vblz4+pos+V+deriv+dvb+num+sg+case+abl	орон^суй^уу^ттан
орон+pos+N+deriv+vblz4+pos+V+deriv+dvb+num+sg+case+cmpr	орон^суй^уу^тааҕар
орон+pos+N+deriv+vblz4+pos+V+deriv+dvb+num+sg+case+part	орон^суй^уу^та
орон+pos+N+deriv+vblz4+pos+V+deriv+dvb+num+sg+case+nom+poss+3pl	орон^суй^уу^лара
орон+pos+N+deriv+vblz4+pos+V+deriv+dvb+num+sg+case+nom+poss+2pl	орон^суй^уу^гут
орон+pos+N+deriv+vblz4+pos+V+deriv+dvb+num+sg+case+nom+poss+1pl	орон^суй^уу^бут
орон+pos+N+deriv+vblz4+pos+V+deriv+dvb+num+sg+case+nom+poss+2sg	орон^суй^уу^ҥ
